,ALCOHOL_BARS,CHARITY,DEBT_COLLECTION_AGENCY,DEBT_CREDIT_CARD_BILL,DEBT_LOAN_BNPL,DEBT_LOAN_EDUCATION,DEBT_LOAN_HOME,DEBT_LOAN_PERSONAL,DEBT_LOAN_VEHICLE,DIGITAL_GOODS_GAMING,DINING,EDUCATION,ENTERTAINMENT,FEES,FUEL,GIFTS_OCCASIONS,GOVT_FEES_PENALTIES,GOVT_TAXES_DIRECT,GOVT_TAXES_INDIRECT,GROCERIES,HEALTH,HOBBIES_SPORTS,HOME_IMPROVEMENT,HOME_SERVICES,HOUSING_MAINTENANCE,HOUSING_RENT,INCOME_BUSINESS_SELF_EMPLOYED,INCOME_GOVT_BENEFIT,INCOME_INVESTMENT,INCOME_REFUNDS,INCOME_SALARY,INSURANCE_PREMIUM_HEALTH,INSURANCE_PREMIUM_LIFE,INSURANCE_PREMIUM_MOTOR,INVEST_GOLD_SILVER,INVEST_MF_SIP,INVEST_RETIREMENT,INVEST_STOCK_BROKERAGE,KIDS_BABY,MOBILITY,PERSONAL_CARE_BEAUTY,PETS,SHOPPING_ECOM,SHOPPING_ELECTRONICS,SUBSCRIPTIONS,TRANSFER_CASH_WITHDRAWAL,TRANSFER_FOREX,TRANSFER_P2P_FAMILY_FRIENDS,TRANSFER_SELF_INTERNAL,TRAVEL,UTILITIES_POWER,UTILITIES_TELECOM,UTILITIES_WATER_GAS
ALCOHOL_BARS,591,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CHARITY,0,556,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DEBT_COLLECTION_AGENCY,0,0,1684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DEBT_CREDIT_CARD_BILL,0,0,0,1410,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DEBT_LOAN_BNPL,0,0,0,0,1698,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DEBT_LOAN_EDUCATION,0,0,0,0,2,1687,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DEBT_LOAN_HOME,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEBT_LOAN_PERSONAL,0,0,0,0,0,0,0,849,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DEBT_LOAN_VEHICLE,0,0,0,0,0,0,0,0,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
DIGITAL_GOODS_GAMING,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
DINING,0,0,0,0,0,0,0,0,0,0,7381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
EDUCATION,0,0,0,1,0,0,1,0,0,0,0,1709,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ENTERTAINMENT,0,0,0,0,0,0,0,0,1,0,1,0,2748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FEES,0,0,0,0,0,0,0,0,0,1,0,1,0,1694,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3883,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
GIFTS_OCCASIONS,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
GOVT_FEES_PENALTIES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1652,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GOVT_TAXES_DIRECT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1698,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOVT_TAXES_INDIRECT,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
GROCERIES,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150,1
HEALTH,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
HOBBIES_SPORTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
HOME_IMPROVEMENT,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1108,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HOME_SERVICES,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1648,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HOUSING_MAINTENANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1717,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
HOUSING_RENT,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1678,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
INCOME_BUSINESS_SELF_EMPLOYED,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INCOME_GOVT_BENEFIT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1677,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
INCOME_INVESTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,596,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
INCOME_REFUNDS,6,3,9,1,4,8,1,2,3,5,54,2,2,173,11,3,6,6,6,55,6,2,0,6,5,4,0,0,0,799,1,4,2,3,5,3,0,5,3,41,7,1,757,0,1,3,2,5,1,3,4,14,0
INCOME_SALARY,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
INSURANCE_PREMIUM_HEALTH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,421,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0
INSURANCE_PREMIUM_LIFE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
INSURANCE_PREMIUM_MOTOR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
INVEST_GOLD_SILVER,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
INVEST_MF_SIP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
INVEST_RETIREMENT,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,552,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
INVEST_STOCK_BROKERAGE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
KIDS_BABY,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOBILITY,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6203,0,0,1,0,0,0,0,0,0,0,0,1,0
PERSONAL_CARE_BEAUTY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,1,0
PETS,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,1,0,0,1,0
SHOPPING_ECOM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3398,1,0,0,0,0,0,0,0,0,0
SHOPPING_ELECTRONICS,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,782,0,0,0,0,0,1,1,0,0
SUBSCRIPTIONS,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1137,0,0,0,0,0,0,2,0
TRANSFER_CASH_WITHDRAWAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,848,0,1,0,1,0,0,0
TRANSFER_FOREX,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1698,0,0,0,1,1,0
TRANSFER_P2P_FAMILY_FRIENDS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1688,0,0,1,0,1
TRANSFER_SELF_INTERNAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,748,0,1,0,1,0,1563,0,0,0,0
TRAVEL,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3337,0,1,0
UTILITIES_POWER,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2238,1,0
UTILITIES_TELECOM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5601,0
UTILITIES_WATER_GAS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1727
